category,title,xmlUrl
Мировые агентства,Reuters US,https://feeds.reuters.com/Reuters/domesticNews
Мировые агентства,AP News,https://rss.ap.org/top-news
Мировые агентства,BBC World,https://feeds.bbci.co.uk/news/rss.xml
Мировые агентства,The Guardian World,https://www.theguardian.com/world/rss
Мировые агентства,CNN Top Stories,https://rss.cnn.com/rss/cnn_topstories.rss
Мировые агентства,Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml
Мировые агентства,France 24,https://www.france24.com/en/france/rss
Мировые агентства,Sputnik,https://sputnikglobe.com/export/rss2/archive/index.xml
Мировые агентства,RT (главная),https://www.rt.com/rss/
Мировые агентства,The Independent,https://www.independent.co.uk/news/uk/rss
США,Fox News,https://feeds.foxnews.com/foxnews/latest
США,Fox News (Google),https://moxie.foxnews.com/google-publisher/us.xml
США,NBC News,https://feeds.nbcnews.com/feeds/topstories
США,CBS News,https://www.cbsnews.com/latest/rss/main
США,ABC News,https://abcnews.go.com/abcnews/topstories
США,NPR,https://feeds.npr.org/1001/rss.xml
США,PBS NewsHour,https://www.pbs.org/newshour/feeds/rss/headlines
США,USA Today,https://rssfeeds.usatoday.com/usatoday-NewsTopStories
США,LA Times,https://www.latimes.com/feed/rss2.0.xml
США,Chicago Tribune,https://www.chicagotribune.com/feed/rss2.0.xml
США,Washington Post World,https://www.washingtonpost.com/rss/world
США,WSJ World,https://feeds.a.dj.com/rss/RSSWorldNews.xml
США,NYT Top Stories,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
США,NYT World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml
США,Axios,https://api.axios.com/feed
США,Politico (Google News),https://news.google.com/rss/search?q=site:politico.com+when:1d&hl=en-US&gl=US&ceid=US:en
Россия,ТАСС,https://tass.ru/rss/v2.xml
Россия,РИА Новости,https://ria.ru/export/rss2/archive/index.xml
Россия,Интерфакс,http://interfax.ru/rss.asp
Россия,Lenta.ru,https://lenta.ru/rss
Россия,Ведомости,http://www.vedomosti.ru/rss/issue
Россия,Коммерсантъ,http://www.kommersant.ru/RSS/main.xml
Россия,Аргументы и Факты,http://aif.ru/rss/news.php
Россия,Известия,https://iz.ru/xml/rss/all.xml
Россия,Дни.ру,http://dni.ru/rss.xml
Россия,RT Россия,https://www.rt.com/rss/russia/
Россия,Новая Газета Европа,https://novayagazeta.eu/feed/rss
Россия,westi-24,https://westi-24.webnode.ru/rss/all.xml
Россия,Газета.Ru,https://subscribe.ru/archive/media.today.exportfirst/index.rss
Россия,Хакер Daily,https://subscribe.ru/archive/media.news.press.xakep.xakepdaily/index.rss
Россия,Записки СисАдмина,https://subscribe.ru/archive/compjournal.samag/index.rss
Россия,Life-InStyle,https://subscribe.ru/archive/media.news.lifeinstyle/index.rss
Россия,Самые интересные новости СМИ,https://subscribe.ru/archive/media.today.lenty/index.rss
Финансы и бизнес,Financial Times World,https://www.ft.com/rss/world
Финансы и бизнес,Bloomberg Markets,https://feeds.bloomberg.com/markets/news.rss
Финансы и бизнес,CNBC,https://www.cnbc.com/id/100003114/device/rss/rss.html
Финансы и бизнес,Economist Latest,https://www.economist.com/latest/rss.xml
Финансы и бизнес,Economist International,https://www.economist.com/international/rss.xml
Финансы и бизнес,InstaForex News,https://news.instaforex.com/ru/news
Финансы и бизнес,InstaForex Analytics,https://news.instaforex.com/ru/analytics
Финансы и бизнес,InstaForex Company,https://news.instaforex.com/ru/company_news
Правительство и оборона,White House,https://www.whitehouse.gov/feed
Правительство и оборона,State Dept,https://www.state.gov/rss/feed
Правительство и оборона,Pentagon,https://www.defense.gov/RSS
Правительство и оборона,FEMA,https://www.fema.gov/feeds
Правительство и оборона,UK Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence.atom
Правительство и оборона,ЦБ РФ Новости,https://cbr.ru/rss/RssNews
Правительство и оборона,ЦБ РФ События,https://cbr.ru/rss/eventrss
Правительство и оборона,ЦБ РФ Пресс-релизы,https://cbr.ru/rss/RssPress
Правительство и оборона,UN News,https://news.un.org/feed/subscribe/en/news/feed/rss.xml
Антарктика и климат,NSIDC Ice Sheets,https://nsidc.org/our-research/latest-stories?field_geographical_area_target_id=All&format=rss
Антарктика и климат,British Antarctic Survey,https://www.bas.ac.uk/news/feed/
Антарктика и климат,Australian Antarctic,https://www.antarctica.gov.au/news/feed/
Антарктика и климат,ТАСС Антарктика,https://tass.ru/tag/antarctica/feed
Антарктика и климат,Nature Climate Change,https://www.nature.com/nclimate.rss
Антарктика и климат,Copernicus Climate,https://climate.copernicus.eu/rss/feed
Антарктика и климат,ScienceDaily Climate,https://www.sciencedaily.com/rss/earth_climate.xml
Антарктика и климат,AGU Antarctic,https://eos.org/tag/antarctica/feed
Антарктика и климат,Phys.org Earth,https://phys.org/rss-feed/earth/
Антарктика и климат,NASA Climate,https://climate.nasa.gov/rss/feed/
Наука и технологии,Guardian Science,https://www.theguardian.com/science/rss
Наука и технологии,Science News,https://www.sciencenews.org/feed
Наука и технологии,Quanta Magazine,https://api.quantamagazine.org/feed/
Наука и технологии,Aeon,https://aeon.co/feed.rss
Наука и технологии,TechRepublic AI,https://www.techrepublic.com/rssfeeds/topic/ai/
Наука и технологии,TechRepublic AI Policy,https://www.techrepublic.com/rssfeeds/topic/ai-governance-policy/
Наука и технологии,TechRepublic AI Infrastructure,https://www.techrepublic.com/rssfeeds/topic/ai-infrastructure/
Наука и технологии,HubSpot Blog,https://blog.hubspot.com/rss
Наука и технологии,TechCrunch,https://techcrunch.com/feed/
Наука и технологии,Lenny's Newsletter,https://lennycavallaro.substack.com/feed
Наука и технологии,a16z Podcast,https://feeds.simplecast.com/JGE3yC0V
Аналитические центры,Foreign Affairs,https://www.foreignaffairs.com/feeds/rss.xml
Аналитические центры,Atlantic Council,https://www.atlanticcouncil.org/feed
Аналитические центры,CSIS,https://www.csis.org/rss.xml
Аналитические центры,RAND,https://www.rand.org/rss/news.xml
Аналитические центры,Brookings,https://www.brookings.edu/feed
Аналитические центры,Carnegie Endowment,https://carnegieendowment.org/rss
Аналитические центры,RUSI,https://www.rusi.org/rss
Аналитические центры,War on the Rocks,https://warontherocks.com/feed
Аналитические центры,Jamestown Foundation,https://jamestown.org/feed
Индия,The Hindu,https://www.thehindu.com/feeder/default.rss
Индия,Times of India,https://timesofindia.indiatimes.com/rssfeedstopstories.cms
Азия и Тихий океан,SCMP,https://www.scmp.com/rss/2/feed
Азия и Тихий океан,Nikkei Asia,https://asia.nikkei.com/rss
Азия и Тихий океан,Yonhap News EN,https://rss.yna.co.kr/english/news
Азия и Тихий океан,Yonhap News Politics,https://rss.yna.co.kr/politics/news
Азия и Тихий океан,Yonhap News Economy,https://rss.yna.co.kr/economy/news
Азия и Тихий океан,Yonhap News TV,https://www.yonhapnewstv.co.kr/browse/feed/
Азия и Тихий океан,Chosun Ilbo,https://rss.chosun.com/chosun/english
Азия и Тихий океан,Chosun (outbound),https://www.chosun.com/arc/outboundfeeds/rss/?outputType=xml
Азия и Тихий океан,NHK World,https://www3.nhk.or.jp/nhkworld/en/news/rss.xml
Азия и Тихий океан,CGTN,https://news.cgtn.com/rss/en
Азия и Тихий океан,Xinhua World,https://www.xinhuanet.com/english/rss/world.xml
Азия и Тихий океан,VnExpress,https://vnexpress.net/rss/tin-moi-nhat.rss
Азия и Тихий океан,Tuoi Tre News,https://tuoitrenews.vn/rss
Азия и Тихий океан,Island Times,https://islandtimes.org/feed/
Азия и Тихий океан,ABC Australia,https://www.abc.net.au/news/feed/2942460/rss.xml
Азия и Тихий океан,Guardian Australia,https://www.theguardian.com/australia-news/rss
